depth_cm,ni_ppm,action,reason,decided
0.06,,exclude_row,surface-cap anomaly: Ni 7.89 ppm / Co 0.63 ppm vs 3.62-3.79 / 0.31-0.33 ppm at the next three points (>2x in both metals); evades the edge-windowed Hampel detector; would invert to a spurious slow-drip point at the top of the record,2026-07-20
7.0,7.08,exclude_row,second-laboratory supplementary run (HS4-C-993): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
7.3,6.38,exclude_row,second-laboratory supplementary run (HS4-C-991): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
7.49,6.73,exclude_row,second-laboratory supplementary run (HS4-C-990): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
7.69,6.77,exclude_row,second-laboratory supplementary run (HS4-C-989): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
7.89,6.56,exclude_row,second-laboratory supplementary run (HS4-C-988): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
8.09,6.81,exclude_row,second-laboratory supplementary run (HS4-C-987): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
8.29,6.52,exclude_row,second-laboratory supplementary run (HS4-C-986): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
8.48,6.56,exclude_row,second-laboratory supplementary run (HS4-C-985): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
155.2,7.77,exclude_row,second-laboratory supplementary run (HS4-A-893): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
155.6,7.56,exclude_row,second-laboratory supplementary run (HS4-A-891): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
155.87,7.69,exclude_row,second-laboratory supplementary run (HS4-A-889): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
156.23,10.7,exclude_row,second-laboratory supplementary run (HS4-A-887): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
156.38,8.27,exclude_row,second-laboratory supplementary run (HS4-A-885): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
156.64,10.8,exclude_row,second-laboratory supplementary run (HS4-A-883): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
156.88,10.1,exclude_row,second-laboratory supplementary run (HS4-A-881): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
157.1,6.6,exclude_row,second-laboratory supplementary run (HS4-A-879): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
157.3,6.5,exclude_row,second-laboratory supplementary run (HS4-A-877): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
157.48,6.25,exclude_row,second-laboratory supplementary run (HS4-A-875): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
157.65,8.65,exclude_row,second-laboratory supplementary run (HS4-A-873): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
157.8,6.77,exclude_row,second-laboratory supplementary run (HS4-A-871): calibration not reproducible against certified standard (Ni 5.20 ppm returned 2.38 ppm) and inconsistent with paired A-series depths; removed at data-owner's (C. Hu) request,2026-09-21
